Date,Source Website,Backlink Type,Domain Authority,DoFollow,Status,Notes,URL
2026-09-11,Google Business Profile,Local Listing,100,Yes,TODO,Highest priority!,https://business.google.com
2026-09-11,Facebook Business,Social Media,90,No,TODO,Create business page,https://business.facebook.com
2026-09-11,Twitter/X,Social Media,95,No,TODO,Business account,https://twitter.com
2026-09-11,LinkedIn Company,Social Media,98,No,TODO,Company page,https://linkedin.com/company/setup
2026-09-11,Instagram Business,Social Media,95,No,TODO,Business profile,https://instagram.com
2026-09-11,Startpagina.nl,Directory,65,Yes,TODO,Dutch directory,https://www.startpagina.nl
2026-09-11,Bedrijvengids.nl,Directory,45,Yes,TODO,Dutch business directory,https://www.bedrijvengids.nl
2026-09-11,DeTelefoongids.nl,Directory,60,Yes,TODO,Phone directory,https://www.detelefoongids.nl/bedrijven
2026-09-11,Qwentes.nl,Directory,40,Yes,TODO,Business directory,https://www.qwentes.nl
2026-09-11,Pagina.nl,Directory,38,Yes,TODO,Dutch directory,https://www.pagina.nl
2026-09-11,Yelp.nl,Directory,92,No,TODO,Review site,https://www.yelp.nl
2026-09-11,Hotfrog.nl,Directory,55,Yes,TODO,International directory,https://www.hotfrog.nl
2026-09-11,Cybo.com,Directory,58,Yes,TODO,Netherlands section,https://www.cybo.com/NL
2026-09-11,Tupalo.com,Directory,52,Yes,TODO,Location directory,https://www.tupalo.com
2026-09-11,Brownbook.net,Directory,60,Yes,TODO,International directory,https://www.brownbook.net
